"항목","행정구역(시군구)별","시점",데이터
"총인구수 (명)","전국","2025.02",51191817
"총인구수 (명)","전국","2025.03",51183336
"총인구수 (명)","전국","2025.04",51175725
"총인구수 (명)","서울특별시","2025.02",9334828
"총인구수 (명)","서울특별시","2025.03",9335734
"총인구수 (명)","서울특별시","2025.04",9331860
"총인구수 (명)","부산광역시","2025.02",3262337
"총인구수 (명)","부산광역시","2025.03",3259219
"총인구수 (명)","부산광역시","2025.04",3256408
"총인구수 (명)","대구광역시","2025.02",2362578
"총인구수 (명)","대구광역시","2025.03",2360493
"총인구수 (명)","대구광역시","2025.04",2359159
"총인구수 (명)","인천광역시","2025.02",3027854
"총인구수 (명)","인천광역시","2025.03",3031361
"총인구수 (명)","인천광역시","2025.04",3033844
"총인구수 (명)","광주광역시","2025.02",1405226
"총인구수 (명)","광주광역시","2025.03",1402478
"총인구수 (명)","광주광역시","2025.04",1400827
"총인구수 (명)","대전광역시","2025.02",1439809
"총인구수 (명)","대전광역시","2025.03",1439482
"총인구수 (명)","대전광역시","2025.04",1439393
"총인구수 (명)","울산광역시","2025.02",1095778
"총인구수 (명)","울산광역시","2025.03",1095014
"총인구수 (명)","울산광역시","2025.04",1094460
"총인구수 (명)","세종특별자치시","2025.02",391669
"총인구수 (명)","세종특별자치시","2025.03",391812
"총인구수 (명)","세종특별자치시","2025.04",391992
"총인구수 (명)","경기도","2025.02",13698657
"총인구수 (명)","경기도","2025.03",13699381
"총인구수 (명)","경기도","2025.04",13702756
"총인구수 (명)","강원특별자치도","2025.02",1513735
"총인구수 (명)","강원특별자치도","2025.03",1512969
"총인구수 (명)","강원특별자치도","2025.04",1512088
"총인구수 (명)","충청북도","2025.02",1590107
"총인구수 (명)","충청북도","2025.03",1590512
"총인구수 (명)","충청북도","2025.04",1590735
"총인구수 (명)","충청남도","2025.02",2135340
"총인구수 (명)","충청남도","2025.03",2135628
"총인구수 (명)","충청남도","2025.04",2135908
"총인구수 (명)","전북특별자치도","2025.02",1735008
"총인구수 (명)","전북특별자치도","2025.03",1733574
"총인구수 (명)","전북특별자치도","2025.04",1732439
"총인구수 (명)","전라남도","2025.02",1785487
"총인구수 (명)","전라남도","2025.03",1785193
"총인구수 (명)","전라남도","2025.04",1785003
"총인구수 (명)","경상북도","2025.02",2524067
"총인구수 (명)","경상북도","2025.03",2523173
"총인구수 (명)","경상북도","2025.04",2522609
"총인구수 (명)","경상남도","2025.02",3221132
"총인구수 (명)","경상남도","2025.03",3219574
"총인구수 (명)","경상남도","2025.04",3218731
"총인구수 (명)","제주특별자치도","2025.02",668205
"총인구수 (명)","제주특별자치도","2025.03",667739
"총인구수 (명)","제주특별자치도","2025.04",667513
"남자인구수 (명)","전국","2025.02",25484498
"남자인구수 (명)","전국","2025.03",25479498
"남자인구수 (명)","전국","2025.04",25474633
"남자인구수 (명)","서울특별시","2025.02",4505412
"남자인구수 (명)","서울특별시","2025.03",4504618
"남자인구수 (명)","서울특별시","2025.04",4501804
"남자인구수 (명)","부산광역시","2025.02",1587357
"남자인구수 (명)","부산광역시","2025.03",1585597
"남자인구수 (명)","부산광역시","2025.04",1584035
"남자인구수 (명)","대구광역시","2025.02",1158607
"남자인구수 (명)","대구광역시","2025.03",1157424
"남자인구수 (명)","대구광역시","2025.04",1156613
"남자인구수 (명)","인천광역시","2025.02",1512651
"남자인구수 (명)","인천광역시","2025.03",1514643
"남자인구수 (명)","인천광역시","2025.04",1515919
"남자인구수 (명)","광주광역시","2025.02",693552
"남자인구수 (명)","광주광역시","2025.03",692193
"남자인구수 (명)","광주광역시","2025.04",691334
"남자인구수 (명)","대전광역시","2025.02",717573
"남자인구수 (명)","대전광역시","2025.03",717532
"남자인구수 (명)","대전광역시","2025.04",717423
"남자인구수 (명)","울산광역시","2025.02",563999
"남자인구수 (명)","울산광역시","2025.03",563688
"남자인구수 (명)","울산광역시","2025.04",563471
"남자인구수 (명)","세종특별자치시","2025.02",194967
"남자인구수 (명)","세종특별자치시","2025.03",194941
"남자인구수 (명)","세종특별자치시","2025.04",195101
"남자인구수 (명)","경기도","2025.02",6883368
"남자인구수 (명)","경기도","2025.03",6883349
"남자인구수 (명)","경기도","2025.04",6884608
"남자인구수 (명)","강원특별자치도","2025.02",761064
"남자인구수 (명)","강원특별자치도","2025.03",760801
"남자인구수 (명)","강원특별자치도","2025.04",760329
"남자인구수 (명)","충청북도","2025.02",809548
"남자인구수 (명)","충청북도","2025.03",809881
"남자인구수 (명)","충청북도","2025.04",810131
"남자인구수 (명)","충청남도","2025.02",1095862
"남자인구수 (명)","충청남도","2025.03",1095977
"남자인구수 (명)","충청남도","2025.04",1096057
"남자인구수 (명)","전북특별자치도","2025.02",864313
"남자인구수 (명)","전북특별자치도","2025.03",863734
"남자인구수 (명)","전북특별자치도","2025.04",863216
"남자인구수 (명)","전라남도","2025.02",901141
"남자인구수 (명)","전라남도","2025.03",901154
"남자인구수 (명)","전라남도","2025.04",901278
"남자인구수 (명)","경상북도","2025.02",1277157
"남자인구수 (명)","경상북도","2025.03",1276834
"남자인구수 (명)","경상북도","2025.04",1276838
"남자인구수 (명)","경상남도","2025.02",1623866
"남자인구수 (명)","경상남도","2025.03",1623318
"남자인구수 (명)","경상남도","2025.04",1622833
"남자인구수 (명)","제주특별자치도","2025.02",334061
"남자인구수 (명)","제주특별자치도","2025.03",333814
"남자인구수 (명)","제주특별자치도","2025.04",333643
"여자인구수 (명)","전국","2025.02",25707319
"여자인구수 (명)","전국","2025.03",25703838
"여자인구수 (명)","전국","2025.04",25701092
"여자인구수 (명)","서울특별시","2025.02",4829416
"여자인구수 (명)","서울특별시","2025.03",4831116
"여자인구수 (명)","서울특별시","2025.04",4830056
"여자인구수 (명)","부산광역시","2025.02",1674980
"여자인구수 (명)","부산광역시","2025.03",1673622
"여자인구수 (명)","부산광역시","2025.04",1672373
"여자인구수 (명)","대구광역시","2025.02",1203971
"여자인구수 (명)","대구광역시","2025.03",1203069
"여자인구수 (명)","대구광역시","2025.04",1202546
"여자인구수 (명)","인천광역시","2025.02",1515203
"여자인구수 (명)","인천광역시","2025.03",1516718
"여자인구수 (명)","인천광역시","2025.04",1517925
"여자인구수 (명)","광주광역시","2025.02",711674
"여자인구수 (명)","광주광역시","2025.03",710285
"여자인구수 (명)","광주광역시","2025.04",709493
"여자인구수 (명)","대전광역시","2025.02",722236
"여자인구수 (명)","대전광역시","2025.03",721950
"여자인구수 (명)","대전광역시","2025.04",721970
"여자인구수 (명)","울산광역시","2025.02",531779
"여자인구수 (명)","울산광역시","2025.03",531326
"여자인구수 (명)","울산광역시","2025.04",530989
"여자인구수 (명)","세종특별자치시","2025.02",196702
"여자인구수 (명)","세종특별자치시","2025.03",196871
"여자인구수 (명)","세종특별자치시","2025.04",196891
"여자인구수 (명)","경기도","2025.02",6815289
"여자인구수 (명)","경기도","2025.03",6816032
"여자인구수 (명)","경기도","2025.04",6818148
"여자인구수 (명)","강원특별자치도","2025.02",752671
"여자인구수 (명)","강원특별자치도","2025.03",752168
"여자인구수 (명)","강원특별자치도","2025.04",751759
"여자인구수 (명)","충청북도","2025.02",780559
"여자인구수 (명)","충청북도","2025.03",780631
"여자인구수 (명)","충청북도","2025.04",780604
"여자인구수 (명)","충청남도","2025.02",1039478
"여자인구수 (명)","충청남도","2025.03",1039651
"여자인구수 (명)","충청남도","2025.04",1039851
"여자인구수 (명)","전북특별자치도","2025.02",870695
"여자인구수 (명)","전북특별자치도","2025.03",869840
"여자인구수 (명)","전북특별자치도","2025.04",869223
"여자인구수 (명)","전라남도","2025.02",884346
"여자인구수 (명)","전라남도","2025.03",884039
"여자인구수 (명)","전라남도","2025.04",883725
"여자인구수 (명)","경상북도","2025.02",1246910
"여자인구수 (명)","경상북도","2025.03",1246339
"여자인구수 (명)","경상북도","2025.04",1245771
"여자인구수 (명)","경상남도","2025.02",1597266
"여자인구수 (명)","경상남도","2025.03",1596256
"여자인구수 (명)","경상남도","2025.04",1595898
"여자인구수 (명)","제주특별자치도","2025.02",334144
"여자인구수 (명)","제주특별자치도","2025.03",333925
"여자인구수 (명)","제주특별자치도","2025.04",333870
